step,episode,A,phi,n,reward
111,14,5.173928290605545,1.6280345747374492,3,-0.0035207930329939074
112,14,8.985839933156967,5.11276582482825,3,-0.10096972969656226
113,15,5.987404435873032,1.996480768116461,3,-0.0035596499010670524
114,15,6.47416815161705,2.1834010644206465,2,0.010179248536349439
115,15,8.582912981510162,3.9621061830874402,2,-0.06503124811130712
116,15,6.017014533281326,2.08884178495515,3,-0.003922976760011299
117,15,5.767293572425842,0.6417408244279593,2,-0.18983917259493954
118,15,5.078905522823334,1.1195852019840271,3,-0.002712119853489292
119,15,5.98505899310112,0.7900530976028413,3,-0.0007129728348225228
120,15,5.919356197118759,2.120110781112908,2,0.010103964177417435
121,16,5.785989910364151,2.728408315206085,2,-0.004120618776202178
122,16,8.303678259253502,2.0539816409072,3,-0.004760038759429541
123,16,7.912886030972004,2.3834016272469185,2,0.004875253125963264
124,16,6.310957074165344,0.2892231639580786,3,0.0027679362763164406
125,16,8.324565514922142,0.9179815150116027,2,0.025843576548886027
126,16,9.094381779432297,1.119162383549568,2,0.04697614957273921
127,16,7.789665311574936,0.35017511901058856,3,0.003763078970296929
128,16,9.30669590830803,1.051372679182309,3,0.0005081348584816681
129,17,5.1113153994083405,1.246550949077663,3,-0.0030016436810713643
130,17,5.553088188171387,1.476741693754551,3,-0.003937362096632757
131,17,5.760749876499176,0.3845552386755735,3,0.0018811214215899152
132,17,5.167741626501083,0.08997306640226842,3,0.002154107049815668
133,17,7.999097555875778,1.7818112799559014,2,0.036116787338902334
134,17,9.23604741692543,4.2300591267711996,3,-0.09420952344836198
135,17,6.71990379691124,0.7871796924315513,2,-0.00399262549050039
136,17,5.443798452615738,0.9698621608351797,3,-0.001987250312362576
137,18,7.9166072234511375,1.4951661287508846,2,0.03631465320014837
138,18,8.528933599591255,3.3851995705962796,2,-0.08509575103900313
139,18,6.615526974201202,3.571485054081546,3,-0.006550937456506478
140,18,6.434328258037567,0.675511246651581,3,0.0003386380661156707
141,18,6.955994963645935,1.8497725085419223,3,-0.004643520824634595
142,18,9.547079652547836,4.731894611785779,3,0.01003292629085184
143,18,5.7552580535411835,1.1673198677556307,3,-0.00343257833029742
144,18,9.327935576438904,0.39397015810257197,2,-0.09623324733733019
145,19,9.310001730918884,2.3992155610055232,3,0.0008598217745672265
146,19,5.877922922372818,4.193879219957055,2,-0.015844069008006834
147,19,9.111034572124481,0.5865060936628282,3,0.0018450889514163293
148,19,5.5158573389053345,0.7080639592741013,2,0.004977484479308014
149,19,6.666711121797562,1.8486209930579962,2,0.022012817367848214
150,19,6.063265949487686,1.6842789764497028,3,-0.004377902332188932
151,19,9.464709907770157,2.720455049895463,2,-0.08399187890140536
152,19,9.868780076503754,1.5036204376514108,3,0.01650628168477386
153,20,9.153582453727722,1.6179797164265872,3,0.007167696419756453
154,20,7.268131356686354,2.3472717639343723,3,-0.0008034062370342321
155,20,9.848429560661316,3.0402717865865463,3,-0.014355301882049698
156,20,5.989165008068085,4.394459379222326,2,-0.010930275030518466
157,20,5.8022624254226685,1.1857557252163142,3,-0.003548661742338699
158,20,9.804980605840683,1.3239853329335154,3,0.013660243235303682
159,20,9.80662390589714,0.7680953760521204,3,-0.005277081334364109
160,20,7.954309172928333,0.9042101425829709,2,0.020096947293311906
161,21,6.3464199006557465,0.6807022885648102,3,0.0002720968316840544
162,21,8.90250250697136,1.8466641938374044,2,0.048060224590327216
163,21,9.754353016614914,2.1443136722956764,3,0.004150205825528275
164,21,8.01984816789627,1.5087734671013118,2,0.03762945321631772
165,21,7.808743063360453,1.0706669067508578,2,0.026825624307150298
166,21,9.343632310628891,0.6511012530824036,3,0.001948702877159425
167,21,9.91336315870285,1.6707427008078128,2,0.07008697960468702
168,21,7.0973337814211845,2.23388199022758,3,-0.002332030950134012
169,22,9.344894886016846,1.8700464464953648,3,0.0065885368420650625
170,22,7.4056418146938086,1.8427182941650675,3,-0.004302815483599343
171,22,8.624594360589981,1.3458447463894219,2,0.044463719259325796
172,22,9.279489368200302,0.8416000576645911,3,-0.002353816340925907
173,22,7.959685288369656,1.7306395759360718,3,-0.002088039840206113
174,22,8.120814524590969,1.0782300761785806,3,-0.005160438309685267
175,22,9.295421540737152,1.3272291255553634,2,0.0556708379534292
176,22,6.201877743005753,0.2387375568132967,2,-0.21602594311517775
177,23,9.040044397115707,1.8085170016058878,2,0.05106721421800575
178,23,9.632091224193573,1.8592794630710185,3,0.010423707087421574
179,23,9.529489427804947,1.446417485201338,3,0.011265957025172968
180,23,9.855065941810608,1.4195829331337662,2,0.06840365162388395
181,23,7.8221094235777855,1.9204631443470197,2,0.03151259082348523
182,23,9.436897039413452,1.921088851963824,3,0.006623107735703293
183,23,9.020586162805557,2.2732262005469086,3,-0.001844654428662329
184,23,7.51818788703531,1.3287009381748707,3,-0.003949686742012792
185,24,9.885431379079819,0.9695646150015415,2,0.057164720597260965
186,24,9.906939566135406,1.8003587405108885,2,0.06857185143166689
187,24,7.99629271030426,0.86303290761576,3,-0.0019557408290351574
188,24,9.667157977819443,1.4450475384934098,2,0.06463402189388967
189,24,9.201721549034119,1.786299091297558,2,0.054319011331695366
190,24,9.395389556884766,2.228406510226688,2,0.04387029943489651
191,24,9.652518779039383,1.355630989534548,2,0.0633411191910398
192,24,9.841789901256561,0.9700213263220221,1,-0.06309810904914703
193,25,9.71133604645729,1.21378476744926,2,0.06189415842093893
194,25,9.29283618927002,1.4033826953759194,2,0.05663571547924118
195,25,8.103090971708298,1.4880744636712433,2,0.03857922120091839
196,25,9.929878562688828,1.5496033468001784,2,0.07076418331645917
197,25,9.895412623882294,1.8230295234426634,2,0.06795960228790698
198,25,9.805004000663757,1.5168725560859084,2,0.06797835918677886
199,25,9.758939743041992,1.0804009061655968,2,0.05894118128829162
200,25,9.609728753566742,1.2337323225279182,2,0.06020050723289461
201,26,9.911138862371445,1.3942061496721567,2,0.06936131343851137
202,26,9.917657524347305,1.2860183722091587,3,0.014673997987237897
203,26,9.753901213407516,1.6375052020848424,2,0.06685031178324308
204,26,9.663228690624237,1.3362850799961539,2,0.06328696843876891
205,26,9.737936556339264,1.65723676023518,2,0.06640873791022761
206,26,9.870775640010834,1.8439799147151859,3,0.014165119173132235
207,26,9.885376989841461,1.7854683410829977,2,0.06831049257894417
208,26,9.55715224146843,2.090854292096137,3,0.0033511777344221727
209,27,9.779250025749207,1.6720675194188834,2,0.06720356561471341
210,27,9.87176388502121,1.6774404781208978,3,0.016312761051065827
211,27,9.840530306100845,1.5640220546264738,2,0.06881900270707675
212,27,9.852056205272675,1.8624319696048246,2,0.0663076982026165
213,27,9.774088710546494,1.9474047117978037,2,0.06274388083331983
214,27,9.972682446241379,1.9105508795870172,2,0.0679906574974467
215,27,9.938288778066635,1.8090633137327852,2,0.06914379529817394
216,27,9.933215975761414,1.3704700814996214,2,0.06957251124788488
217,28,9.847218692302704,1.4676273162174136,2,0.06862228898949652
218,28,9.932643622159958,1.649569852360739,2,0.07064038383369953
219,28,9.955083131790161,1.902602155174108,2,0.06776278981515538
220,28,9.957055002450943,1.9157255368177772,2,0.06750582885939505
221,28,9.951272159814835,1.6919862374563963,2,0.07079585739173888
222,28,9.887599647045135,1.5773250123900042,2,0.0698358583713905
223,28,9.986124038696289,1.6412603840532394,2,0.07192433931802822
224,28,9.955743551254272,1.7811525220938877,2,0.06995314001284347
225,29,9.987823963165283,1.5313451929242166,2,0.07207210338902748
226,29,9.936208724975586,1.706114515082583,3,0.01707449260580529
227,29,9.984726011753082,1.5386096929972173,2,0.07201591828022735
228,29,9.912178665399551,1.5217104378718616,2,0.07030111373448733
229,29,9.881641119718552,1.6833960761315123,2,0.06930246194008638
230,29,9.951207637786865,1.6385333175030874,2,0.07111595582035979
231,29,9.824645072221756,1.6966069987929449,2,0.06797681860610649
232,29,9.92426335811615,1.5163008711078734,2,0.07055455900614915
233,30,9.972516149282455,1.3759957454422476,2,0.07054846252023994
234,30,9.933954179286957,1.599280674152072,2,0.07084379973557309
